time,semitone,f0
0.686,62,289.224
0.697,62,288.424
0.708,62,288.617
0.718,62,300.613
0.729,62,301.829
0.74,63,302.657
0.75,63,304.819
0.761,63,307.134
0.772,63,309.069
0.783,63,308.951
0.793,63,308.034
0.804,63,306.593
0.815,63,306.829
0.825,63,306.828
0.836,63,305.319
0.847,63,303.541
0.858,63,302.867
0.868,63,302.658
0.879,63,302.389
0.89,62,302.201
0.9,62,301.929
0.911,62,302.243
0.922,63,302.31
0.933,62,301.748
0.943,62,297.697
0.954,63,302.603
0.965,63,308.324
0.975,63,315.016
0.986,64,330.774
0.997,64,332.586
1.008,64,334.658
1.018,64,337.235
1.029,64,338.618
1.04,64,338.628
1.05,64,337.934
1.061,64,337.086
1.072,64,335.331
1.083,64,332.662
1.093,64,327.649
1.104,64,328.354
1.115,64,330.063
1.125,64,331.179
1.136,64,332.206
1.147,64,333.227
1.158,64,334.122
1.168,64,334.988
1.179,64,335.963
1.19,64,336.093
1.2,64,336.321
1.211,64,336.473
1.222,64,337.029
1.233,65,341.871
1.243,65,347.257
1.254,65,347.27
1.265,65,348.413
1.275,65,350.174
1.286,65,351.091
1.297,65,351.095
1.308,65,349.829
1.318,65,348.697
1.329,65,347.797
1.34,65,346.969
1.35,65,346.608
1.361,65,345.85
1.372,65,344.637
1.383,65,343.716
1.393,65,343.58
1.404,65,343.799
1.415,65,344.413
1.425,65,345.523
1.436,65,346.082
1.447,65,346.438
1.458,65,346.54
1.468,65,346.69
1.479,65,346.584
1.49,65,346.148
1.5,65,346.152
1.511,65,346.234
1.522,65,346.157
1.533,65,346.234
1.543,65,346.577
1.554,65,347.12
1.565,65,347.021
1.575,65,346.415
1.586,65,346.431
1.597,65,346.637
1.608,65,346.345
1.618,65,344.247
1.629,65,340.108
1.64,65,340.99
1.65,65,344.169
1.661,65,349.201
1.672,65,349.235
1.683,65,348.138
1.693,65,346.604
1.704,65,344.548
1.715,65,341.55
1.725,64,337.74
1.736,64,333.853
1.747,64,330.17
1.758,64,327.823
1.768,64,326.158
1.779,64,324.941
1.79,64,324.558
1.8,64,325.148
1.811,64,325.577
1.822,64,325.798
1.833,64,325.764
1.843,64,326.059
1.854,64,326.349
1.865,64,326.93
1.875,64,327.25
1.886,64,327.26
1.897,64,327.135
1.908,64,326.639
1.918,64,326.23
1.929,64,326.128
1.94,64,325.761
1.95,64,325.674
1.961,64,325.857
1.972,64,325.761
1.983,64,325.89
1.993,64,326.65
2.004,64,326.996
2.015,64,326.713
2.025,64,326.314
2.036,64,325.138
2.047,64,320.354
2.058,63,318.625
2.068,63,317.028
2.079,63,314.118
2.09,63,311.123
2.1,63,312.615
2.111,63,310.259
2.122,63,307.164
2.133,63,304.959
2.143,63,303.184
2.154,62,301.01
2.165,62,299.227
2.175,62,297.402
2.186,62,295.577
2.197,62,293.571
2.208,62,291.417
2.218,62,290.345
2.229,62,290.338
2.24,62,290.222
2.25,62,290.013
2.261,62,289.948
2.272,62,289.335
2.283,62,289.312
2.293,62,289.143
2.304,62,288.806
2.315,62,289.113
2.325,62,288.957
2.336,62,288.593
2.347,62,288.517
2.358,62,288.576
2.368,62,289.276
2.379,62,290.261
2.39,62,290.311
2.4,62,290.802
2.411,62,291.49
2.422,62,291.916
2.433,62,292.11
2.443,62,292.198
2.454,62,291.94
2.465,62,290.939
2.475,62,287.763
2.486,61,279.265
2.497,61,276.645
2.508,61,270.397
2.518,60,263.389
2.529,60,257.317
2.54,60,259.178
2.55,60,258.076
2.561,60,256.941
2.572,60,257.047
2.583,60,257.337
2.593,60,256.809
2.604,60,256.759
2.615,60,257.315
2.625,60,257.141
2.636,60,256.893
2.647,60,256.625
2.658,60,256.779
2.668,60,257.127
2.679,60,256.616
2.69,60,255.406
2.7,60,254.196
2.711,59,253.541
2.722,59,253.272
2.733,59,253.465
2.743,59,253.947
2.754,59,253.7
2.765,59,253.845
2.775,60,254.436
2.786,60,255.049
2.797,60,255.723
2.808,60,256.01
2.818,60,256.154
2.829,60,255.648
2.84,60,254.959
2.85,60,254.483
2.861,60,254.222
2.872,60,254.82
2.883,60,255.534
2.893,60,255.801
2.904,60,255.746
2.915,60,255.06
2.925,59,250.363
2.936,59,248.545
2.947,59,250.914
2.958,59,250.967
2.968,59,250.991
2.979,59,251.672
2.99,60,259.753
3,60,260.008
3.011,60,258.055
3.022,60,256.605
3.033,60,256.627
3.043,60,256.877
3.054,60,257.074
3.065,60,256.73
3.075,60,256.767
3.086,60,257.23
3.097,60,257.693
3.108,60,257.543
3.118,60,256.877
3.129,60,255.548
3.14,60,254.566
3.15,60,254.688
3.161,60,255.541
3.172,60,256.485
3.183,60,257.375
3.193,60,258.052
3.204,60,258.513
3.215,60,259.049
3.225,60,259.328
3.236,60,259.31
3.247,60,258.516
3.258,60,257.404
3.268,60,256.341
3.279,60,255.689
3.29,60,255.455
3.3,60,255.597
3.311,60,255.801
3.322,60,256.247
3.333,60,256.525
3.343,60,255.848
3.354,60,255.998
3.365,60,256.827
3.375,60,257.827
3.386,60,258.015
3.397,60,257.786
3.408,60,257.611
3.418,60,257.259
3.429,60,256.999
3.44,60,257.302
3.45,60,257.274
3.461,60,256.474
3.472,60,255.851
3.483,60,255.318
3.493,60,255.366
